Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,128.51,74.34,4.963,-0.34335,2.590e-2,0.0438,0.008,5351.111,1.920e-4,1.920e-4,1.920e-4,0_1:6.684e-3,0_1:277.333
Q1,142.79,79.95,4.838,-0.34621,3.240e-2,0.0482,0.0166,5351.111,3.970e-4,3.970e-4,3.970e-4,1_2:9.947e-3; 1_0:6.684e-3,1_2:469.333; 1_0:312.889
Q2,184.95,24.85,5.037,-0.34366,1.900e-2,0.0286,0.0094,5351.111,2.571e-4,2.571e-4,2.571e-4,2_3:7.344e-3; 2_1:9.947e-3,2_3:355.556; 2_1:504.889
Q3,214.35,69.18,4.951,-0.34355,2.210e-2,0.0306,0.0136,5351.111,1.834e-4,1.834e-4,1.834e-4,3_4:4.746e-3; 3_2:7.344e-3,3_4:334.222; 3_2:391.111
Q4,127.79,44.4,5.066,-0.34211,1.920e-2,0.0302,0.0082,5351.111,3.155e-4,3.155e-4,3.155e-4,4_3:4.746e-3,4_3:298.667
