 combination_of_observables_5_JordanWigner_commute.out 10 JordanWigner commute 190 20
 combination_of_observables_5_JordanWigner_disjointqubits.out 10 JordanWigner disjointqubits 190 117
 combination_of_observables_5_JordanWigner_qubitwise.out 10 JordanWigner qubitwise 190 100
 combination_of_observables_5_Parity_commute.out 10 Parity commute 190 19
 combination_of_observables_5_Parity_disjointqubits.out 10 Parity disjointqubits 190 118
 combination_of_observables_5_Parity_qubitwise.out 10 Parity qubitwise 190 99
 combination_of_observables_6_BravyiKitaev_commute.out 12 BravyiKitaev commute 276 24
 combination_of_observables_6_BravyiKitaev_disjointqubits.out 12 BravyiKitaev disjointqubits 276 198
 combination_of_observables_6_BravyiKitaev_qubitwise.out 12 BravyiKitaev qubitwise 276 175
 combination_of_observables_6_JordanWigner_commute.out 12 JordanWigner commute 276 23
 combination_of_observables_6_JordanWigner_disjointqubits.out 12 JordanWigner disjointqubits 276 165
 combination_of_observables_6_JordanWigner_qubitwise.out 12 JordanWigner qubitwise 276 144
 combination_of_observables_6_Parity_commute.out 12 Parity commute 276 23
 combination_of_observables_6_Parity_disjointqubits.out 12 Parity disjointqubits 276 166
 combination_of_observables_6_Parity_qubitwise.out 12 Parity qubitwise 276 143
 combination_of_observables_7_BravyiKitaev_commute.out 14 BravyiKitaev commute 378 27
 combination_of_observables_7_BravyiKitaev_disjointqubits.out 14 BravyiKitaev disjointqubits 378 258
 combination_of_observables_7_BravyiKitaev_qubitwise.out 14 BravyiKitaev qubitwise 378 231
 combination_of_observables_7_JordanWigner_commute.out 14 JordanWigner commute 378 28
 combination_of_observables_7_JordanWigner_disjointqubits.out 14 JordanWigner disjointqubits 378 221
 combination_of_observables_7_JordanWigner_qubitwise.out 14 JordanWigner qubitwise 378 196
 combination_of_observables_7_Parity_commute.out 14 Parity commute 378 28
 combination_of_observables_7_Parity_disjointqubits.out 14 Parity disjointqubits 378 222
 combination_of_observables_7_Parity_qubitwise.out 14 Parity qubitwise 378 195
 combination_of_observables_8_BravyiKitaev_commute.out 16 BravyiKitaev commute 496 31
 combination_of_observables_8_BravyiKitaev_disjointqubits.out 16 BravyiKitaev disjointqubits 496 318
 combination_of_observables_8_BravyiKitaev_qubitwise.out 16 BravyiKitaev qubitwise 496 287
 combination_of_observables_8_JordanWigner_commute.out 16 JordanWigner commute 496 31
 combination_of_observables_8_JordanWigner_disjointqubits.out 16 JordanWigner disjointqubits 496 285
 combination_of_observables_8_JordanWigner_qubitwise.out 16 JordanWigner qubitwise 496 256
 combination_of_observables_8_Parity_commute.out 16 Parity commute 496 31
 combination_of_observables_8_Parity_disjointqubits.out 16 Parity disjointqubits 496 286
 combination_of_observables_8_Parity_qubitwise.out 16 Parity qubitwise 496 255
 combination_of_observables_9_BravyiKitaev_commute.out 18 BravyiKitaev commute 630 36
 combination_of_observables_9_BravyiKitaev_disjointqubits.out 18 BravyiKitaev disjointqubits 630 410
 combination_of_observables_9_BravyiKitaev_qubitwise.out 18 BravyiKitaev qubitwise 630 375
 combination_of_observables_9_JordanWigner_commute.out 18 JordanWigner commute 630 37
 combination_of_observables_9_JordanWigner_disjointqubits.out 18 JordanWigner disjointqubits 630 357
 combination_of_observables_9_JordanWigner_qubitwise.out 18 JordanWigner qubitwise 630 324
 combination_of_observables_9_Parity_commute.out 18 Parity commute 630 35
 combination_of_observables_9_Parity_disjointqubits.out 18 Parity disjointqubits 630 358
 combination_of_observables_9_Parity_qubitwise.out 18 Parity qubitwise 630 323
 
